Arun-down,,
,,"[0.845489,0.408636]"
,0ae12cf2bfb4f80e1a778066d1dfbdb9,
nithinright,,
,,"[1.485800,0.584692]"
,7a8ade9a3989b90e48ced263a1de89d1,
,,"[2.003659,0.570719]"
,1c101632f60226ab344bb90eb1380e53,
,,"[1.881749,0.582679]"
,746d39388fa445bb6bbb1739f5efaac9,
,,"[2.093207,0.575829]"
,3e2b5b4b98f273758be35e9149ed1a5b,
,,"[1.597255,0.628992]"
,60ad2441e6480ec795800b18caf5971b,
nithinstraight,,
,,"[0.874739,0.607797]"
,18b1a255a8ec153b7b35f6466678586a,
,,"[0.827165,0.624064]"
,ab27640a3aecb050d3dc54c026863866,
,,"[0.816814,0.592502]"
,7c17b4f379f48510eb9ea7fdf9b324b1,
,,"[0.841579,0.594286]"
,9f32b2c22f032f8647a4cc0b3ee3a23e,
,,"[0.931105,0.608324]"
,303e58efb046f730985fb047ca88ebca,
,,"[0.896353,0.602088]"
,e098fe7d572bc61cdfca16f377ec55bc,
,,"[0.794508,0.595981]"
,4c0954f8bdbef2c8261ae352b1b8ec4d,
,,"[0.933224,0.655403]"
,29c35eb82cec322b1b5f309cb4d71967,
nithintop,,
,,"[1.209166,0.974052]"
,e1add1512dadf4dafba1a1a55b5df13b,
,,"[1.047800,0.948551]"
,59a372f6d07f52bec0ba089db95e4bd4,
,,"[1.212180,1.274140]"
,52f9975202dc8d7e1924bae282561f18,
,,"[1.128133,1.008007]"
,20a45e3ca4536de47d7c1a1f75876954,
,,"[1.141316,0.903485]"
,764f76d973f287033a4b314b29caa8a8,
noah15,,
,,"[0.894548,0.675695]"
,c3a3149d3932c3e417f4ec39d97a3cae,
,,"[0.952398,0.655989]"
,f913cd0a75c1c3cb07b036ea174e8b30,
,,"[0.853599,0.674394]"
,80bad1cda03f7dc40a52cd5e32edebb7,
,,"[0.852749,0.734571]"
,33875a7650a2d3f7640cd5f328dcaf4e,
,,"[0.869426,0.645321]"
,3b0b3d5b82d08293fb167747273c07d1,
,,"[0.816497,0.674756]"
,1b7211edb4c11b289805392016cc3392,
,,"[0.886037,0.692674]"
,c78ce6e96e14f40d5a44fc7ee5e1788c,
noahdownas,,
,,"[0.972102,0.515958]"
,a373013ece340f280887b47532d7194a,
,,"[0.928674,0.522683]"
,ceb477304dff7225513fd82c73deaf8d,
,,"[0.958232,0.437282]"
,84e322fefe612de0b79ac99c35127154,
,,"[0.834027,0.546517]"
,4dd3e6eabe771654acc70c16d0350642,
,,"[1.085810,0.545082]"
,331203ac05de850753aab1be8125d26f,
noahleftqwe,,
,,"[0.856051,0.717385]"
,6b14d351c086e50269262803576c963b,
noahstwer,,
,,"[0.755836,0.795502]"
,89cb6b4b4d7d36fc69d5409065b099df,
,,"[0.862388,0.770026]"
,2449dfb76fba17f14e8c75bea07222bb,
,,"[0.808028,0.717421]"
,fe7e70d48ea996243d94f7fe825e64a9,
,,"[0.868750,0.728463]"
,c7696a73b47c9b19c3b8d9075d3de539,
,,"[0.776710,0.679537]"
,be7fd717755d5e73936b18e0b6d56f0a,
,,"[0.745345,0.656617]"
,eb09be76e298c102f5676cf6860afb15,
,,"[0.854240,0.709069]"
,7d001ddbd91df061ae262b3feb739270,
,,"[0.734807,0.728812]"
,99c677a8696ca546e11ab331102c1c72,
noahtest15th,,
,,"[0.919238,0.715167]"
,66951df2cdb110d2c15d96930738244e,
,,"[0.954746,0.646957]"
,13793a181ade7fe7b5092718c93b4343,
,,"[0.879465,0.669670]"
,6ef8a21506298cfdfa3cf6054af7eb78,
,,"[0.941446,0.623450]"
,e0841224edbfb11b7cd42f25da1363a1,
,,"[0.829028,0.646406]"
,2c57aef5769d1415171e6174f04cf099,
,,"[0.866376,0.670503]"
,7982b5ad6d9fc2a6c57793221d772f9c,
,,"[0.829373,0.643150]"
,4adda3ab212d150dc46186b113778eba,
,,"[0.789208,1.039132]"
,fb13ede7f5182ad31db2bf846a6753dd,
phani_down,,
,,"[1.002871,0.430408]"
,64a954d8352b4eff959733ba5d0c34b9,
,,"[0.954078,0.389631]"
,6be61df2df697b393ca21e97b0deb353,
phaniii_down,,
,,"[0.968478,0.479130]"
,6537f8dd84223058de128c7e246ce760,
,,"[0.903574,0.466472]"
,b02b35ffcdb336f6a3a7f4dbc1d52179,
,,"[0.915465,0.460913]"
,6261da8c91c9bd70c958d059921b55f8,
phaniiijehdije,,
,,"[1.022216,0.723908]"
,392c25b7d43646faaf17403be7ce82bb,
,,"[0.890696,0.668141]"
,cc3eb34c23e6e711efd740a5a3566c4e,
right15noah,,
,,"[1.607122,0.704096]"
,727f0645019f352da07aa742720ca560,
rightkeertika,,
,,"[1.899202,0.638709]"
,b816389e9812ee7991d32e9f202e8a5a,
,,"[2.383852,0.613807]"
,5f23332f2c6e82bc5341d4309187b9c7,
,,"[3.360353,0.690507]"
,866f2e6a7171a0c7e8ea701e3fca9a14,
,,"[2.080759,0.735656]"
,bfddaff567ec385f43f71df15dfd49e4,
,,"[1.966412,0.614580]"
,8ec63e7fee4b6f74e44abc5051028b70,
,,"[1.963413,0.599612]"
,f03a2bf520758320c468694a12b586c9,
,,"[1.526076,0.755501]"
,f51a3dce08f7b0f89a7d856eca8343e8,
root_down,,
,,"[0.978711,0.465986]"
,80624d5965310e27314ef8f1b384157f,
root_left,,
,,"[0.400815,0.736154]"
,06095764bbff49c6439e96cb6a1fb63c,
root_rigt,,
,,"[1.092696,0.717529]"
,f6d37852fef3bc91020a56def3bf11c1,
,,"[2.059365,0.750206]"
,e89e1293e523ea90dbd7bf4bd901312d,
root_straight,,
,,"[1.137520,0.624138]"
,1743c2fd36aac6c013038fe43ba19700,
root_top,,
,,"[1.172994,0.653823]"
,0db24c07be91b8ace544fed5e0b4d8fd,
,,"[1.148167,0.958462]"
,9824778f29d0e4d6c7757b492eef0bfd,
sankethdown,,
,,"[0.863451,0.535603]"
,f1a581b86e23179cbb03d1cb9453e0f4,
,,"[0.852797,0.562280]"
,a254b3a8a1ca4600a1ad36b07456f6aa,
,,"[0.952698,0.602727]"
,4b594ccd6f33942f05c2b9afe1d4b0f2,
,,"[1.063681,0.611862]"
,b802e666a519e0d7c2433cc5c2c8af0c,
sankethleft,,
,,"[0.677979,0.727802]"
,d4158c240943acdcc6d92d87d5b791de,
sankethright,,
,,"[0.914314,0.882085]"
,c91b9b4364a55432a4936641c2771195,
,,"[1.541337,0.830144]"
,fcf0b28b4f01abb85a0dcbc5a09b1ec9,
sankethstraight,,
,,"[1.024933,0.798111]"
,6aac675748d599d4bfa1d970631b8159,
,,"[0.853993,0.896466]"
,de9258c83803dc2aeabd0b55d4aeddfb,
,,"[0.717508,0.898964]"
,e559da95c34da49c6bd87a2b7d596a04,
,,"[0.958669,0.853378]"
,36aada3444a370bae3b04ab5d8ce157c,
,,"[1.118818,0.738909]"
,d6a9e5e711be8bf6b3b70ce7e12e4308,
,,"[1.200725,0.817073]"
,9e7870abed0e2ef491ad90ee79da74ae,
,,"[1.067150,0.748790]"
